	 about	 city	 country	 category	 description	 cluster
504	accessories	Milan	Italy	Magazine	fashion	2
505	fashion	Brescia	United States	Cars	car	1
506	accessories	Wallaroo S.A.	Canada	Community	fashion	2
507	fashion	Sydney	Australia	Fitness Model	fashion	0
508	fashion	Paris	France	Clothing (Brand)	accessories	1
509	accessories	Bucharest	United States	Public Figure	fashion	2
510	accessories	Batna	Algeria	Jewelry/Watches	fashion	2
511	design	Brooklyn	United States	Cars	design	1
512	design	Montevarchi	Italy	Clothing (Brand)	accessories	3
513	fashion	Bridgehampton	United States	Health/Beauty	car	1
514	accessories	Madrid	United Kingdom	Pizza Place	food	3
515	design	Kuweit	Canada	Organization	accessories	1
516	design	New Orleans	Italy	Community	accessories	3
517	accessories	Frankfurt	Italy	Magazine	fashion	2
518	hair	Parabiago (MI) Italy	United States	Fashion Company	fashion	0
519	design	Minsk Mazowiecki	Spain	Community	fashion	0
520	fashion	Erbusco	United States	Other	accessories	1
521	fashion	Milan	Canada	Local Business	accessories	1
522	food	Parabiago	Argentina	Coach	car	1
523	accessories	Milan	Belgium	Community	fashion	2
524	accessories	Bristol	Argentina	Website	car	3
525	design	Madrid	Italy	Website	beauty	3
526	fashion	Mirandola	United States	Public Figure	fashion	0
527	beauty	Madrid	Spain	Health/Beauty	accessories	1
528	accessories	Huntingdon	Italy	Just For Fun	accessories	3
529	food	Moscow	Russia	Car Dealership	food	1
530	design	Mondo	Poland	Product/Service	fashion	0
531	beauty	Forest Hills	United States	Public Figure	design	1
532	design	North Vancouver	Italy	Personal Blog	accessories	3
533	car	Damery	Italy	Community	accessories	3
534	fashion	Termoli	United States	Personal Blog	accessories	1
535	food	Benin-City	Spain	Kitchen/Cooking	food	1
536	blog	RÃ©gioun Musel an EmgÃ©igend	United States	Photographer	hair	1
537	food	Roma	Belgium	Personal Blog	fashion	0
538	accessories	Rome	Italy	Health/Beauty	design	3
539	beauty	Montecalvoli	United States	Automotive Parts Store	design	1
540	fashion	Atlanta	United States	Image Consultant	accessories	1
541	fashion	Gardena	Italy	Community	fashion	0
542	hair	Quebec	United Kingdom	Home Decor	fashion	0
543	food	Tel Aviv	Israel	Business Service	fashion	0
544	beauty	Dublin	Ireland	Health/Beauty	beauty	1
545	fashion	Forest Hills	Belgium	Fashion	design	1
546	accessories	Perth	United States	Musician/Band	fashion	2
547	fashion	Palermo	Canada	TV Show	design	1
548	design	Damery	India	Sewer Service	fashion	0
549	design	le beausset	Portugal	Local Business	design	1
550	accessories	Madrid	Portugal	Community	design	3
551	fashion	Paris	Italy	Community	accessories	1
552	accessories	Dubai	United States	Marketing Consultant	fashion	2
553	design	Tel Aviv	Israel	Design & Fashion	design	1
554	accessories	Penang	Malaysia	Restaurant	food	3
555	accessories	Bernareggio	Italy	Health/Beauty	accessories	3
556	design	Los Angeles	United States	Clothing (Brand)	fashion	0
557	blog	Milan	France	Recreation & Sports Website	fashion	0
558	design	London	United Kingdom	Home Decor	fashion	0
559	accessories	Dhaka	Bangladesh	Clothing Store	fashion	2
560	fashion	Brussels	Italy	Arts & Humanities Website	fashion	0
561	accessories	Senigallia	Italy	Local Business	accessories	3
562	beauty	SÃ£o JosÃ©	Germany	Clothing (Brand)	accessories	1
563	design	Szczecin	Poland	Interior Design Studio	design	1
564	accessories	Czestochowa	Poland	Clothing (Brand)	fashion	2
565	accessories	Pompei	Malaysia	Website	accessories	3
566	fashion	New Orleans	Argentina	Retail Company	accessories	1
567	accessories	Trutnov	Czech Republic	Media	accessories	3
568	fashion	Collingwood	Canada	Cleaning Service	fashion	0
569	fashion	Miami	United States	Community	design	1
570	fashion	Miami	United States	Clothing (Brand)	fashion	0
571	blog	Hangzhou	Spain	Personal Blog	fashion	0
572	accessories	Bernareggio	Italy	Beauty Salon	design	3
573	accessories	SÃ£o Paulo	Brazil	Photographer	fashion	2
574	beauty	Fullerton	United States	Weight Loss Center	fashion	0
575	fashion	Turin	Italy	Restaurant	food	0
576	accessories	New York	Germany	Actor	food	3
577	blog	Rome	Italy	American Restaurant	accessories	3
578	fashion	KrakÃ³w	Poland	Photographer	design	1
579	accessories	Kennett Square	United States	Jewelry & Watches Store	accessories	3
580	design	Beverly Hills	United Kingdom	Personal Blog	car	1
581	fashion	London	Brazil	Community	accessories	1
582	accessories	MstÃ³w	Poland	Footwear Store	accessories	3
583	design	Bangalore	Switzerland	Product/Service	design	1
584	design	Burlington	United Kingdom	Food & Beverage Company	accessories	1
585	fashion	Frankfurt	Brazil	Website	food	1
586	fashion	Los Angeles	Italy	Cars	car	0
587	design	Fullerton	Spain	Health/Beauty	design	1
588	fashion	Milan	Italy	Gym/Physical Fitness Center	design	1
589	food	Dhaka	United States	Cars	blog	1
590	food	Turin	Italy	Blogger	fashion	2
591	accessories	Buenos Aires	Argentina	City	accessories	3
592	hair	Rome	Italy	Food & Beverage Company	blog	3
593	design	Minsk Mazowiecki	Poland	Wholesale & Supply Store	design	1
594	fashion	Perth	Italy	Personal Blog	fashion	0
595	accessories	Cheras, Kuala Lumpur	Malaysia	Community	fashion	2
596	fashion	Naples	Italy	News & Media Website	blog	0
597	blog	Rome	Italy	Movie Theater	design	3
598	food	Rome	Italy	Jewelry/Watches	accessories	3
